family,n,memory_share,n_kernels,pure_family,mixed_10_90
cpu_cholmod,166314,0.6673581298026624,1,False,True
cpu_hpcg,32245,0.9995348115986975,1,True,False
cpu_lulesh,302140,0.9999834513801549,1,True,False
dgemm,10938,0.0,1,True,False
dual_axpy,12773,0.5914037422688484,3,False,True
dual_cholesky,14559,0.3485129473178103,3,False,True
dual_fft,17049,0.5722916300076251,4,False,True
dual_gemm,5990,0.0015025041736227045,1,True,False
dual_spmv,7145,0.4282715185444367,2,False,True
dual_stencil,17945,0.4460852605182502,4,False,True
gap_pr,23542,1.0,1,True,False
hpccg_cpu_N46,10666,0.17804237764860303,1,False,True
npb_bt,108605,0.37022236545278764,1,False,True
npb_cg,25770,1.0,1,True,False
npb_ft,15679,0.9628802857325085,1,False,False
npb_lu,70757,0.7004677982390435,1,False,True
npb_mg,1778,1.0,1,True,False
npb_sp,56273,0.9938514029818919,1,True,False
phasic,136215,0.3141137172851742,3,False,True
rajaperf_apps_edge3d,32761,0.00033576508653582004,1,True,False
rajaperf_apps_fir,18124,0.0012138600750386229,1,True,False
rajaperf_apps_mass3dpa,21114,0.0002841716396703609,1,True,False
rajaperf_basic,5992,0.9803070761014686,2,True,False
rajaperf_basic_mat_mat_shared,24916,0.0010033713276609408,1,True,False
rajaperf_basic_pi_reduce,19407,0.0004637501932292472,1,True,False
rajaperf_basic_trap_int,23600,0.00046610169491525426,1,True,False
rajaperf_lcals,12855,0.9915208090237262,2,True,False
rajaperf_polybench,64720,0.17493819530284302,3,False,True
rajaperf_stream,18224,0.9903972783143108,3,True,False
rodinia_lavamd,31659,0.000473798919738463,1,True,False
